id;operation_layer;minimum_deca_newton_load;degree_assembly_angle;forced_end_per_bobins_count;anonymous_carrier_plait_fiber_number;anonymous_carrier_plait_fiber_designation;anonymous_carrier_plait_fiber_decitex_titration;anonymous_carrier_plait_fiber_gram_per_square_milimeter_per_meter_density;anonymous_carrier_plait_fiber_deca_newton_load;owner_strand_supply_id
1;91980;73093;44;75926;42115;HTTP Horizontal payment;75905;42493;37196;1
2;12821;84351;10;87313;77296;payment Brooks Health;899;58560;89202;2
3;11428;92071;1;24096;58940;Awesome Garden;91971;1458;27212;3
4;33120;9280;55;51269;26019;e-business Granite;13970;88539;93031;4
5;29420;75362;78;34149;20215;e-business;35199;8799;15578;5
6;96783;98529;52;72851;74217;ROI;62043;42878;62020;6
7;909;91956;28;51656;92412;Handmade IB;78347;6611;23389;7
8;3157;61804;78;79938;98478;Saint platforms;28427;5397;96440;8
9;1071;81949;74;7261;58584;Towels Chicken;450;21976;54139;9
10;90404;38244;0;56856;54891;Money Incredible;47425;45520;11109;10
