id;number;designation;decitex_titration;gram_per_square_milimeter_per_meter_density;deca_newton_load
1;80200;Fresh Awesome Bedfordshire;95880;64904;67057
2;68950;Manager payment Fresh;24221;31203;72196
3;61384;Account Bedfordshire;10276;2658;10611
4;35043;Plaza transparent;46179;26604;41549
5;90087;Berkshire;83653;20580;52783
6;82407;platforms;57024;62008;43422
7;38325;withdrawal Spur;83059;44650;87505
8;29181;Steel Metal adapter;43998;33263;44940
9;58322;open-source;55879;3061;46816
10;43750;hardware Lilangeni;62944;7357;65217
