id;designation;gram_per_meter_linear_mass;metal_fiber_kind;milimeter_diameter;flexibility
1;distributed Dirham SSL;42391;TINNED_COPPER;31684;SES
2;CFA TCP Practical;2118;RED_COPPER;8579;USES
3;Steel;13052;RED_COPPER;64721;L5
4;IB;49396;RED_COPPER;58983;MB
5;Ergonomic;92070;TINNED_COPPER;57927;DS
6;Awesome;20604;RED_COPPER;88945;R
7;GB envisioneer;96179;TINNED_COPPER;57682;L6
8;project;50662;RED_COPPER;39910;MB
9;Liaison Avon;46840;TINNED_COPPER;63182;MB
10;Coordinator;4166;TINNED_COPPER;91619;R
