id;operation_layer;anonymous_continuity_wire_designation;anonymous_continuity_wire_gram_per_meter_linear_mass;anonymous_continuity_wire_metal_fiber_kind;anonymous_continuity_wire_milimeter_diameter;anonymous_continuity_wire_flexibility;owner_strand_supply_id
1;21145;Research streamline;73479;TINNED_COPPER;66767;R;1
2;61358;TCP Dollar;14189;STEEL;13324;R;2
3;56565;District Personal;16198;STEEL;64580;L5;3
4;12073;Practical Oklahoma copying;26793;STEEL;91037;L5;4
5;55349;Strategist;46594;STEEL;82236;USES;5
6;80652;recontextualize Internal virtual;45384;RED_COPPER;58072;MB;6
7;10611;Granite partnerships;33088;TINNED_COPPER;19962;MB;7
8;70373;Bacon Port;93000;RED_COPPER;51943;MB;8
9;15157;Plastic Plastic;14185;TINNED_COPPER;94523;USES;9
10;57778;Overpass;73458;STEEL;28491;DS;10
