id;apparitions;description;marking_type;custom_component_id;strand_id
1;83406;backing Mouse;RINGY_COLORED;1;1
2;61867;Hong discrete;LONGITUDINALLY_COLORED;2;2
3;16521;Handmade Computer Investment;NUMBERED;3;3
4;52866;e-tailers override;NUMBERED;4;4
5;28560;Hollow indexing;NUMBERED;5;5
6;81508;Bermuda white transitional;LONGITUDINALLY_COLORED;6;6
7;10174;Metrics;LONGITUDINALLY_COLORED;7;7
8;2214;Coordinator Practical;NUMBERED;8;8
9;25667;grow Sausages;NUMBERED;9;9
10;81487;virtual;NUMBERED;10;10
