id;designation;gram_per_meter_linear_mass;milimeter_diameter;insulation_thickness;copper_id;insulation_material_id
1;card Lek;72613;31659;32186;1;1
2;cross-platform aggregate;11262;31498;78108;2;2
3;synthesize Saudi Product;75667;55844;85894;3;3
4;Networked Circle Legacy;20471;35235;65740;4;4
5;Re-contextualized drive data-warehouse;52500;99452;73102;5;5
6;red violet;3651;14227;62950;6;6
7;mission-critical Home innovative;92298;29896;33992;7;7
8;Home;63898;34821;72715;8;8
9;Dynamic Sum;8426;41935;24800;9;9
10;Analyst invoice Planner;4374;51028;33396;10;10
