id;edition_date_time;new_gram_per_meter_linear_mass;new_milimeter_diameter;new_insulation_thickness;edited_element_kind_id
1;2021-11-30T06:02:17;72543;95459;72873;1
2;2021-11-29T17:43:56;31687;87032;90820;2
3;2021-11-29T19:39:52;35899;94994;85680;3
4;2021-11-30T11:43:45;10370;75561;30576;4
5;2021-11-30T10:15:14;81473;60917;82109;5
6;2021-11-29T22:46:33;17264;89965;77779;6
7;2021-11-30T05:53:48;11810;78586;97670;7
8;2021-11-30T08:06:57;76995;31269;61032;8
9;2021-11-30T10:02:48;80284;2633;52441;9
10;2021-11-30T08:52:22;88486;15478;6536;10
