id;jhi_index;minimum_milimeter_diameter;maximum_milimeter_diameter;supports_spirally_colored_marking_type;supports_longitudinally_colored_marking_type;supports_numbered_marking_type;supports_ink_jet_marking_technique;supports_rsd_marking_technique
1;1;0;5.99;true;false;false;true;true
2;2;0;5.99;true;false;false;true;true
3;3;0;20;true;false;false;true;true
4;4;0;20;false;false;true;true;true
5;5;0;5.99;false;true;true;true;true
6;6;0;20;false;true;true;true;true
7;7;0;5.99;false;false;false;true;true
8;8;0;5.99;false;false;false;true;true
9;9;0;5.99;false;false;false;true;true
10;10;0;5.99;false;false;false;true;true
