id;milimeter_diameter;meter_per_second_speed;marking_type;marking_technique;hour_preparation_time;lifter_id
1;86609;56771;LONGITUDINALLY_COLORED;NONE_SUITABLE;64057;1
2;85402;11831;LONGITUDINALLY_COLORED;INK_JET;51008;2
3;17705;19763;LONGITUDINALLY_COLORED;NONE;81113;3
4;50474;91343;NUMBERED;INK_JET;86910;4
5;44272;28702;SPIRALLY_COLORED;NONE_SUITABLE;83226;5
6;77781;45756;NUMBERED;INK_JET;77851;6
7;50681;42870;RINGY_COLORED;NONE_SUITABLE;45489;7
8;92540;67421;SPIRALLY_COLORED;INK_JET;28988;8
9;95140;42560;SPIRALLY_COLORED;NONE_SUITABLE;87710;9
10;8558;16940;RINGY_COLORED;NONE_SUITABLE;19350;10
