id;marking_type;marking_technique;meter_per_hour_speed;material_id
1;NUMBERED;INK_JET;3000;1
2;SPIRALLY_COLORED;NONE;450;2
3;NUMBERED;INK_JET;3500;2
4;NUMBERED;RSD;2500;2
5;LONGITUDINALLY_COLORED;NONE;2500;2
6;SPIRALLY_COLORED;NONE;450;4
7;NUMBERED;INK_JET;2000;4
8;NUMBERED;RSD;2500;5
9;LONGITUDINALLY_COLORED;NONE;2500;5
10;NUMBERED;RSD;2500;6
11;LONGITUDINALLY_COLORED;NONE;2500;6
12;NUMBERED;RSD;2500;8
13;LONGITUDINALLY_COLORED;NONE;2500;8
14;NUMBERED;RSD;2500;9
15;LONGITUDINALLY_COLORED;NONE;2500;9
16;SPIRALLY_COLORED;NONE;450;10
17;NUMBERED;INK_JET;2500;10
18;NUMBERED;RSD;2000;10
19;LONGITUDINALLY_COLORED;NONE;2000;10
20;SPIRALLY_COLORED;NONE;450;11
21;NUMBERED;INK_JET;2500;11
22;NUMBERED;RSD;2000;11
23;LONGITUDINALLY_COLORED;NONE;2000;11
24;NUMBERED;INK_JET;3000;13
25;SPIRALLY_COLORED;NONE;450;14
26;SPIRALLY_COLORED;NONE;450;15
27;NUMBERED;INK_JET;3500;15
28;NUMBERED;RSD;2500;15
29;SPIRALLY_COLORED;NONE;450;16
30;NUMBERED;INK_JET;3500;16
31;NUMBERED;RSD;2500;16
32;SPIRALLY_COLORED;NONE;450;17
33;NUMBERED;INK_JET;3500;17
34;NUMBERED;RSD;2500;17
35;SPIRALLY_COLORED;NONE;450;18
36;NUMBERED;INK_JET;3500;18
37;NUMBERED;RSD;2500;18
38;NUMBERED;RSD;2500;19
39;LONGITUDINALLY_COLORED;NONE;2500;19
40;NUMBERED;RSD;2500;21
41;LONGITUDINALLY_COLORED;NONE;2500;21
