id;apparitions;description;marking_type;my_new_component_id
1;48763;Steel solid Rial;RINGY_COLORED;1
2;36074;Prairie Generic AGP;LIFTING;2
3;10670;Malaysia Electronics capacitor;RINGY_COLORED;3
4;31218;Tuna Coordinator synthesize;LONGITUDINALLY_COLORED;4
5;28648;sexy Gorgeous Dynamic;NUMBERED;5
6;50662;Architect index Avenue;LONGITUDINALLY_COLORED;6
7;53561;EXE;RINGY_COLORED;7
8;92468;Buckinghamshire Pants;SPIRALLY_COLORED;8
9;97548;matrix;NUMBERED;9
10;48992;overriding Shoes;LONGITUDINALLY_COLORED;10
