id;operation_layer;operation_data;anonymous_my_new_component_number;anonymous_my_new_component_designation;anonymous_my_new_component_data;owner_strand_supply_id
1;1331;46827;34228;Shirt Cambridgeshire;81900;1
2;36860;37515;46922;Chair Loan Credit;83219;2
3;46360;78912;64463;Agent Global;28263;3
4;85516;96731;82968;Kentucky panel Director;70245;4
5;84455;58819;32285;Latvia;66130;5
6;39141;32314;90492;Berkshire mobile;12540;6
7;40617;58818;69764;deposit;6714;7
8;27303;90805;15775;revolutionary;48613;8
9;66739;52236;52574;Towels;25090;9
10;58414;12254;17146;Berkshire withdrawal;3068;10
