id;operation_layer;target_covering_rate;target_degree_angle;targeting_covering_rate_not_angle;anonymous_metal_fiber_number;anonymous_metal_fiber_designation;anonymous_metal_fiber_metal_fiber_kind;anonymous_metal_fiber_milimeter_diameter;owner_strand_supply_id
1;32772;0;5818;false;46863;circuit;TINNED_COPPER;65701;1
2;22695;1;76834;false;16583;payment;RED_COPPER;21097;2
3;95040;1;50342;true;63577;Station Radial;STEEL;80636;3
4;13139;1;67160;true;41403;haptic;TINNED_COPPER;29779;4
5;93335;1;55723;false;47130;orange Avon Small;STEEL;959;5
6;42107;0;71360;true;11330;digital;TINNED_COPPER;82924;6
7;44530;1;42893;false;32475;Tasty Branding payment;STEEL;61650;7
8;45265;0;80214;false;41090;Grenada dedicated;TINNED_COPPER;37267;8
9;54254;1;83908;false;21385;Synergistic Sleek;RED_COPPER;99457;9
10;61097;1;33530;false;57030;Solutions Row Front-line;RED_COPPER;77423;10
