id;operation_layer;assembly_mean_is_same_than_assemblys;forced_diameter_assembly_step;anonymous_copper_fiber_number;anonymous_copper_fiber_designation;anonymous_copper_fiber_kind;anonymous_copper_fiber_milimeter_diameter;owner_strand_supply_id
1;92935;false;54075;44215;SCSI integrate;TINNED_COPPER;9997;1
2;27674;false;99372;78435;CSS;TINNED_COPPER;90904;2
3;15811;true;69296;75304;Consultant Computer payment;TINNED_COPPER;92465;3
4;43220;false;60554;13169;Customer Incredible Forward;STEEL;22710;4
5;85924;true;9969;61346;Orchestrator Buckinghamshire ability;TINNED_COPPER;13861;5
6;80270;false;10502;28838;composite Tala Practical;STEEL;83726;6
7;71043;true;66907;57255;Account;TINNED_COPPER;39527;7
8;42133;false;96460;98463;Specialist Music migration;STEEL;65878;8
9;50594;true;11844;1880;Computers drive sensor;RED_COPPER;26590;9
10;7152;false;8731;3025;Representative Park;RED_COPPER;31608;10
